statenum,casenum,vnumber,pnumber,arrhr,arrmin,arrtime,atmcond,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,acctime,caseyear,dayofweek,hosphr,hospmin,hosptime,fhevent,holiday,heavytruck,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,milepnt,nhs,nothr,notmin,nottime,numfatal,nmforms,vforms,rxing,reljuncinter,relrdwy,schlbus,spejur,trafid1,age,alcres,alctst,deathdate,dthday,dthhr,dthmin,dthmon,deathtime,dthyr,drugres1,drugres2,drugres3,drugtst1,drugtst2,drugtst3,hispanic,injury,methalc,methdrug,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex,lagtime
39,692,1,1,99,99,9999,1,1800,49,8062002,6,16,59,8,0,0,0,1659,2002,3,99,99,9999,12,0,0,39.94579167,39,56,4485,1,-83.03588611,83,2,919,5,0,0,99,99,9999,1,0,3,0,3,1,0,0,W MOUND ST,35,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,8,0,0,0,1,8,0,0,2,99999
39,692,2,1,99,99,9999,1,1800,49,8062002,6,16,59,8,0,0,0,1659,2002,3,99,99,9999,12,0,0,39.94579167,39,56,4485,1,-83.03588611,83,2,919,5,0,0,99,99,9999,1,0,3,0,3,1,0,0,W MOUND ST,41,99,9,0,0,0,0,0,0,0,999,999,999,9,9,9,0,0,9,8,0,0,0,1,8,0,0,2,99999
39,692,3,1,99,99,9999,1,1800,49,8062002,6,16,59,8,0,0,0,1659,2002,3,99,99,9999,12,0,0,39.94579167,39,56,4485,1,-83.03588611,83,2,919,5,0,0,99,99,9999,1,0,3,0,3,1,0,0,W MOUND ST,75,0,1,8062002,6,19,1,8,1901,2002,996,0,0,1,0,0,7,4,9,8,0,0,0,1,8,0,1,1,202
39,692,3,2,99,99,9999,1,1800,49,8062002,6,16,59,8,0,0,0,1659,2002,3,99,99,9999,12,0,0,39.94579167,39,56,4485,1,-83.03588611,83,2,919,5,0,0,99,99,9999,1,0,3,0,3,1,0,0,W MOUND ST,75,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,2,0,0,0,1,99999
39,729,1,2,99,99,9999,1,1800,49,8232002,23,7,10,8,0,0,0,710,2002,6,99,99,9999,30,0,0,40.02853611,40,1,4273,1,-82.96422778,82,57,5122,0,0,0,99,99,9999,1,0,1,0,1,4,0,0,CLEVELAND-AVE,99,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,8,0,0,0,2,8,9,0,2,99999
39,729,1,1,99,99,9999,1,1800,49,8232002,23,7,10,8,0,0,0,710,2002,6,99,99,9999,30,0,0,40.02853611,40,1,4273,1,-82.96422778,82,57,5122,0,0,0,99,99,9999,1,0,1,0,1,4,0,0,CLEVELAND-AVE,70,0,1,8232002,23,7,43,8,743,2002,1,0,0,1,0,0,7,4,9,8,0,0,0,1,9,9,1,1,33
39,732,1,1,99,99,9999,1,1800,49,8252002,25,23,37,8,0,0,0,2337,2002,1,99,99,9999,33,0,0,39.91686944,39,55,73,2,-83.01609167,83,0,5793,0,0,0,99,99,9999,2,0,1,0,11,2,0,0,FRANK-RD,45,97,1,8262002,26,0,22,8,22,2002,0,0,0,0,0,0,7,4,9,8,0,0,0,9,0,1,1,1,45
39,732,1,2,99,99,9999,1,1800,49,8252002,25,23,37,8,0,0,0,2337,2002,1,99,99,9999,33,0,0,39.91686944,39,55,73,2,-83.01609167,83,0,5793,0,0,0,99,99,9999,2,0,1,0,11,2,0,0,FRANK-RD,36,96,0,8262002,26,0,23,8,23,2002,0,0,0,0,0,0,7,4,9,8,0,0,0,9,8,8,1,1,46
39,745,1,1,99,99,9999,1,1800,49,8192002,19,10,35,8,0,0,0,1035,2002,2,99,99,9999,12,0,0,39.94565,39,56,4434,1,-82.84605556,82,50,4580,6,414,1,99,99,9999,1,0,3,0,13,1,0,0,I-270,18,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,1,0,0,0,2,99999
39,745,2,1,99,99,9999,1,1800,49,8192002,19,10,35,8,0,0,0,1035,2002,2,99,99,9999,12,0,0,39.94565,39,56,4434,1,-82.84605556,82,50,4580,6,414,1,99,99,9999,1,0,3,0,13,1,0,0,I-270,48,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0,1,0,0,0,2,99999
39,745,3,1,99,99,9999,1,1800,49,8192002,19,10,35,8,0,0,0,1035,2002,2,99,99,9999,12,0,0,39.94565,39,56,4434,1,-82.84605556,82,50,4580,6,414,1,99,99,9999,1,0,3,0,13,1,0,0,I-270,25,0,1,8192002,19,11,43,8,1143,2002,1,0,0,1,0,0,7,4,9,8,0,0,0,1,9,9,2,2,108
39,747,1,2,99,99,9999,1,1800,49,3102002,10,3,0,3,0,0,0,300,2002,1,99,99,9999,24,0,0,39.95053056,39,57,191,3,-83.019275,83,1,939,0,168,1,99,99,9999,1,0,1,0,1,2,0,0,I-70,20,96,0,3102002,10,9,18,3,918,2002,0,0,0,0,0,0,7,4,9,8,0,0,0,2,9,9,1,2,618
39,747,1,1,99,99,9999,1,1800,49,3102002,10,3,0,3,0,0,0,300,2002,1,99,99,9999,24,0,0,39.95053056,39,57,191,3,-83.019275,83,1,939,0,168,1,99,99,9999,1,0,1,0,1,2,0,0,I-70,27,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0,1,0,0,0,2,99999
39,750,1,1,99,99,9999,1,1800,49,8262002,26,6,58,8,0,0,0,658,2002,2,99,99,9999,34,0,0,39.97269444,39,58,2170,4,-83.16084167,83,9,3903,0,0,0,99,99,9999,1,0,1,0,1,2,0,0,FEDER-RD,19,26,1,8262002,26,7,9,8,709,2002,1,0,0,1,0,0,7,4,9,8,0,0,0,1,9,9,2,1,11
39,750,1,2,99,99,9999,1,1800,49,8262002,26,6,58,8,0,0,0,658,2002,2,99,99,9999,34,0,0,39.97269444,39,58,2170,4,-83.16084167,83,9,3903,0,0,0,99,99,9999,1,0,1,0,1,2,0,0,FEDER-RD,99,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,1,99999
39,758,1,1,99,99,9999,1,1800,49,8312002,31,4,51,8,0,0,0,451,2002,7,99,99,9999,25,6,0,39.95316111,39,57,1138,3,-83.00072222,83,0,260,0,140,1,99,99,9999,1,0,1,0,1,3,0,0,I-70,30,0,1,8312002,31,10,30,8,1030,2002,348,0,0,1,0,0,7,4,9,8,0,0,0,1,9,9,2,2,539
39,758,1,3,99,99,9999,1,1800,49,8312002,31,4,51,8,0,0,0,451,2002,7,99,99,9999,25,6,0,39.95316111,39,57,1138,3,-83.00072222,83,0,260,0,140,1,99,99,9999,1,0,1,0,1,3,0,0,I-70,22,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0,2,9,9,0,2,99999
39,758,1,2,99,99,9999,1,1800,49,8312002,31,4,51,8,0,0,0,451,2002,7,99,99,9999,25,6,0,39.95316111,39,57,1138,3,-83.00072222,83,0,260,0,140,1,99,99,9999,1,0,1,0,1,3,0,0,I-70,17,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0,2,9,9,0,2,99999
39,770,1,1,12,54,1254,1,0,49,8292002,29,12,45,8,0,0,0,1245,2002,5,99,99,9999,12,0,0,39.97143056,39,58,1715,1,-83.14968611,83,8,5887,2,0,0,12,50,1250,1,0,2,0,1,1,0,0,HILLIARD-R0ME-RD,48,22,1,8292002,29,12,58,8,1258,2002,187,128,0,2,1,0,7,4,9,8,0,0,0,1,9,9,1,1,13
39,770,2,1,12,54,1254,1,0,49,8292002,29,12,45,8,0,0,0,1245,2002,5,99,99,9999,12,0,0,39.97143056,39,58,1715,1,-83.14968611,83,8,5887,2,0,0,12,50,1250,1,0,2,0,1,1,0,0,HILLIARD-R0ME-RD,55,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,1,0,0,0,1,99999
39,780,1,1,14,37,1437,1,3200,49,8232002,23,14,32,8,0,0,0,1432,2002,6,15,12,1512,43,0,0,39.87327222,39,52,2378,1,-83.09041111,83,5,2548,0,0,0,14,33,1433,1,0,1,0,1,5,0,0,VENTURA BLVD,45,7,1,8232002,23,16,35,8,1635,2002,101,321,0,1,1,0,7,4,9,8,0,0,0,1,9,9,1,1,203
