statenum,casenum,vnumber,pnumber,atmcond,atmcond2,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,caseyear,dayofweek,fhevent,holiday,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,numfatal,vforms,schlbus,speeding,age,alcres,alcsts,alctst,drugres1,drugres2,drugres3,drugsts,drugtst1,drugtst2,drugtst3,injury,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex
39,493,1,1,1,0,1800,49,7022016,2,1,57,7,0,0,0,2016,7,34,5,40.112075,40,6,43.47,3,-82.97760833,82,58,39.39,0,1,1,0,1,48,240,2,1,189,996,0,2,1,3,0,4,0,0,0,1,0,1,2,1
39,497,0,1,1,0,1800,49,7112016,11,5,43,7,0,0,0,2016,2,8,0,39.92741111,39,55,38.68,4,-82.83131111,82,49,52.72,0,1,1,0,0,21,0,2,1,177,151,996,2,1,1,1,4,0,0,0,5,0,0,1,2
39,497,1,1,1,0,1800,49,7112016,11,5,43,7,0,0,0,2016,2,8,0,39.92741111,39,55,38.68,4,-82.83131111,82,49,52.72,0,1,1,0,0,999,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
39,500,1,1,1,0,1800,49,7202016,20,23,6,7,0,0,0,2016,4,12,0,39.95343889,39,57,12.38,3,-82.96106111,82,57,39.82,1,1,2,0,1,25,50,2,1,996,0,0,2,3,0,0,4,0,0,0,1,0,0,1,1
39,500,2,1,1,0,1800,49,7202016,20,23,6,7,0,0,0,2016,4,12,0,39.95343889,39,57,12.38,3,-82.96106111,82,57,39.82,1,1,2,0,1,29,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
39,511,1,1,10,0,0,49,7162016,16,1,44,7,0,0,0,2016,7,12,0,40.08210278,40,4,55.57,3,-82.91611667,82,54,58.02,1,1,2,0,0,37,49,2,1,605,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1
39,511,2,1,10,0,0,49,7162016,16,1,44,7,0,0,0,2016,7,12,0,40.08210278,40,4,55.57,3,-82.91611667,82,54,58.02,1,1,2,0,0,39,996,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1
39,511,2,2,10,0,0,49,7162016,16,1,44,7,0,0,0,2016,7,12,0,40.08210278,40,4,55.57,3,-82.91611667,82,54,58.02,1,1,2,0,0,45,50,2,1,996,0,0,2,3,0,0,4,0,0,0,2,8,8,1,2
39,525,1,1,10,0,1800,49,7232016,23,0,57,7,0,0,0,2016,7,53,0,40.03343056,40,2,0.35,2,-82.914625,82,54,52.65,0,1,1,0,0,27,0,2,1,605,0,0,2,1,0,0,4,0,0,0,1,1,0,2,1
39,527,1,1,1,0,1800,49,7292016,29,21,51,7,0,0,0,2016,6,12,0,39.92825,39,55,41.7,3,-82.9252,82,55,30.72,2,1,2,0,0,39,243,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
39,527,1,2,1,0,1800,49,7292016,29,21,51,7,0,0,0,2016,6,12,0,39.92825,39,55,41.7,3,-82.9252,82,55,30.72,2,1,2,0,0,21,996,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,8,0,2
39,527,2,1,1,0,1800,49,7292016,29,21,51,7,0,0,0,2016,6,12,0,39.92825,39,55,41.7,3,-82.9252,82,55,30.72,2,1,2,0,0,40,0,2,1,1,0,0,2,1,0,0,4,0,0,0,1,0,0,98,2
39,532,1,1,1,0,1800,49,8022016,2,3,9,8,0,0,0,2016,3,12,0,39.94206111,39,56,31.42,3,-82.96376111,82,57,49.54,2,1,2,0,0,38,190,2,1,177,0,0,2,1,0,0,4,0,0,0,1,0,0,2,1
39,532,2,1,1,0,1800,49,8022016,2,3,9,8,0,0,0,2016,3,12,0,39.94206111,39,56,31.42,3,-82.96376111,82,57,49.54,2,1,2,0,0,19,101,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2
39,544,1,1,1,0,0,49,7242016,24,18,17,7,0,0,0,2016,1,34,0,39.89590278,39,53,45.25,1,-83.19826111,83,11,53.74,0,1,1,0,0,51,0,2,1,1,0,0,2,1,0,0,4,0,0,0,1,0,0,1,2
39,607,1,1,1,0,2270,49,8072016,7,14,29,8,0,0,0,2016,1,43,0,40.09883889,40,5,55.82,1,-83.10908056,83,6,32.69,0,1,1,0,0,45,0,2,1,996,0,0,2,3,0,0,4,0,0,0,1,8,8,1,1
39,608,1,1,1,0,0,49,8122016,12,11,24,8,0,0,0,2016,6,42,0,39.87556111,39,52,32.02,1,-83.00738056,83,0,26.57,0,1,1,0,0,55,996,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1
39,610,1,1,10,0,0,49,8142016,14,23,51,8,0,0,0,2016,1,24,0,39.87459167,39,52,28.53,3,-83.000925,83,0,3.33,0,2,2,0,0,34,87,2,1,1,0,0,2,1,0,0,4,0,0,0,1,0,1,1,1
39,610,2,1,10,0,0,49,8142016,14,23,51,8,0,0,0,2016,1,24,0,39.87459167,39,52,28.53,3,-83.000925,83,0,3.33,0,2,2,0,0,46,996,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1
39,610,2,2,10,0,0,49,8142016,14,23,51,8,0,0,0,2016,1,24,0,39.87459167,39,52,28.53,3,-83.000925,83,0,3.33,0,2,2,0,0,47,996,0,0,0,0,0,0,0,0,0,4,0,0,0,2,8,8,2,1
39,611,0,1,1,0,0,49,8192016,19,23,27,8,0,0,0,2016,6,8,0,40.04373056,40,2,37.43,3,-82.95921944,82,57,33.19,0,1,1,0,0,45,35,2,1,321,351,996,2,1,1,1,4,0,0,0,5,0,1,2,1
39,611,1,1,1,0,0,49,8192016,19,23,27,8,0,0,0,2016,6,8,0,40.04373056,40,2,37.43,3,-82.95921944,82,57,33.19,0,1,1,0,0,60,995,8,95,95,0,0,8,6,0,0,0,0,0,0,1,0,0,0,1
39,659,1,1,1,0,1800,49,9012016,1,23,37,9,0,0,0,2016,5,33,0,40.07527222,40,4,30.98,2,-83.1033,83,6,11.88,0,1,1,0,0,40,180,2,1,996,0,0,2,1,0,0,4,0,0,0,1,0,1,1,1
39,660,1,1,1,0,5550,49,9012016,1,21,27,9,0,0,0,2016,5,38,0,40.05790833,40,3,28.47,2,-82.81076111,82,48,38.74,0,1,1,0,0,36,0,2,1,605,996,0,2,1,1,0,4,0,0,0,1,1,0,1,1
39,684,0,1,1,0,1800,49,8102016,10,18,4,8,0,0,0,2016,4,9,0,39.94509167,39,56,42.33,1,-82.8828,82,52,58.08,0,1,1,0,0,69,0,2,1,402,996,407,2,3,3,2,4,0,0,0,6,0,0,1,1
39,684,1,1,1,0,1800,49,8102016,10,18,4,8,0,0,0,2016,4,9,0,39.94509167,39,56,42.33,1,-82.8828,82,52,58.08,0,1,1,0,0,41,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
39,700,1,1,1,0,1800,49,9082016,8,0,50,9,0,0,0,2016,5,33,0,40.04285,40,2,34.26,2,-83.03343889,83,2,0.38,0,1,1,0,1,50,200,2,1,996,0,0,2,1,0,0,4,0,0,0,1,0,0,1,1
39,701,1,1,1,0,1800,49,9102016,10,12,13,9,0,0,0,2016,7,12,0,39.99076667,39,59,26.76,1,-83.02595278,83,1,33.43,6,1,2,0,1,25,0,2,1,996,0,0,2,1,0,0,4,0,0,0,1,0,0,1,1
39,701,2,1,1,0,1800,49,9102016,10,12,13,9,0,0,0,2016,7,12,0,39.99076667,39,59,26.76,1,-83.02595278,83,1,33.43,6,1,2,0,1,77,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
39,706,0,1,1,0,1800,49,9112016,11,17,20,9,0,0,0,2016,1,8,0,40.08995,40,5,23.82,1,-82.94445833,82,56,40.05,0,1,1,0,0,6,0,2,1,1,0,0,2,3,0,0,4,0,0,0,5,0,0,2,1
39,706,1,1,1,0,1800,49,9112016,11,17,20,9,0,0,0,2016,1,8,0,40.08995,40,5,23.82,1,-82.94445833,82,56,40.05,0,1,1,0,0,24,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,709,0,1,1,0,1800,49,8302016,30,7,57,8,0,0,0,2016,3,8,0,39.99058056,39,59,26.09,1,-83.01753889,83,1,3.14,0,1,1,0,0,64,0,2,1,1,0,0,2,1,0,0,4,0,0,0,5,0,0,18,1
39,709,1,1,1,0,1800,49,8302016,30,7,57,8,0,0,0,2016,3,8,0,39.99058056,39,59,26.09,1,-83.01753889,83,1,3.14,0,1,1,0,0,19,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
39,724,1,1,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,39,0,2,1,1,0,0,2,1,0,0,1,0,0,0,1,1,0,0,1
39,724,2,1,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,41,996,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
39,724,2,2,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,39,996,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,8,0,2
39,724,2,3,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,1,996,0,0,0,0,0,0,0,0,0,3,0,0,0,2,8,8,0,1
39,724,2,4,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,9,996,0,0,0,0,0,0,0,0,0,4,0,0,0,2,8,8,1,2
39,724,2,5,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,7,996,0,0,0,0,0,0,0,0,0,4,0,0,0,2,8,8,1,2
39,724,2,6,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,4,996,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,8,0,1
39,724,3,1,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,15,996,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
39,724,3,2,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,50,996,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,8,0,1
39,724,4,1,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,56,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,724,4,2,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,51,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,2
39,724,4,3,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,20,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,2
39,724,5,1,1,0,0,49,9162016,16,15,46,9,14,0,0,2016,6,12,0,39.886925,39,53,12.93,1,-83.02921389,83,1,45.17,1,2,5,0,0,42,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,756,0,1,1,0,1800,49,9222016,22,6,48,9,0,0,0,2016,5,8,0,40.07176667,40,4,18.36,4,-82.97657222,82,58,35.66,0,1,2,0,0,11,0,2,1,1,0,0,2,1,0,0,4,0,0,0,5,0,0,2,1
39,756,1,1,1,0,1800,49,9222016,22,6,48,9,0,0,0,2016,5,8,0,40.07176667,40,4,18.36,4,-82.97657222,82,58,35.66,0,1,2,0,0,65,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,756,2,1,1,0,1800,49,9222016,22,6,48,9,0,0,0,2016,5,8,0,40.07176667,40,4,18.36,4,-82.97657222,82,58,35.66,0,1,2,0,0,55,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,793,0,1,1,0,1800,49,5112016,11,2,25,5,0,0,0,2016,4,8,0,40.05196111,40,3,7.06,3,-83.03286111,83,1,58.3,0,1,1,0,0,18,0,2,1,605,996,0,2,1,1,0,4,0,0,0,5,1,0,2,1
39,793,1,1,1,0,1800,49,5112016,11,2,25,5,0,0,0,2016,4,8,0,40.05196111,40,3,7.06,3,-83.03286111,83,1,58.3,0,1,1,0,0,34,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,795,1,1,10,0,0,49,10092016,9,20,14,10,0,0,0,2016,1,12,7,39.84441111,39,50,39.88,2,-83.18513333,83,11,6.48,2,2,2,0,0,45,220,2,1,189,188,996,2,1,1,1,4,0,0,0,1,1,1,1,1
39,795,1,2,10,0,0,49,10092016,9,20,14,10,0,0,0,2016,1,12,7,39.84441111,39,50,39.88,2,-83.18513333,83,11,6.48,2,2,2,0,0,42,0,2,1,996,0,0,2,1,0,0,4,0,0,0,2,8,8,1,2
39,795,2,1,10,0,0,49,10092016,9,20,14,10,0,0,0,2016,1,12,7,39.84441111,39,50,39.88,2,-83.18513333,83,11,6.48,2,2,2,0,0,35,996,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
39,797,0,1,1,0,1800,49,9262016,26,5,40,9,0,0,0,2016,2,8,0,39.89596111,39,53,45.46,3,-82.87420833,82,52,27.15,0,1,1,0,0,19,996,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,1,2
39,797,1,1,1,0,1800,49,9262016,26,5,40,9,0,0,0,2016,2,8,0,39.89596111,39,53,45.46,3,-82.87420833,82,52,27.15,0,1,1,0,0,29,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,797,1,2,1,0,1800,49,9262016,26,5,40,9,0,0,0,2016,2,8,0,39.89596111,39,53,45.46,3,-82.87420833,82,52,27.15,0,1,1,0,0,59,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,2
39,800,0,1,10,0,0,49,10132016,13,6,21,10,0,0,0,2016,5,8,0,39.95356111,39,57,12.82,2,-83.10275278,83,6,9.91,0,1,1,0,0,59,90,2,1,600,407,996,2,1,2,3,4,0,0,0,5,1,1,1,1
