statenum,casenum,vnumber,pnumber,arrhr,arrmin,arrtime,atmcond,atmcond2,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,acctime,caseyear,dayofweek,driverdrowsy,hosphr,hospmin,hosptime,fhevent,funcsystem,holiday,landuse,heavytruck,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,milepnt,nhs,nothr,notmin,nottime,numfatal,nmforms,pforms,vforms,ownership,rxing,reljunc,reljuncinter,relrdwy,rtesign,schlbus,spejur,speeding,trafid1,trafid2,intersectiontype,conszone,age,alcres,alcsts,alctst,deathdate,dthday,dthhr,dthmin,dthmon,deathtime,dthyr,diedscene,drugres1,drugres2,drugres3,drugsts,drugtst1,drugtst2,drugtst3,injurwrk,hispanic,injury,methalc,methdrug,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex,lagtime,takehosp
39,211,1,1,3,7,307,1,0,1800,49,4092016,9,2,57,4,20,0,0,257,2016,7,0,3,38,338,30,3,0,2,0,39.95636111,39,57,22.9,3,-82.90848889,82,54,30.56,0,184,1,2,58,258,1,0,2,1,1,0,3,0,4,2,0,0,1,US-40 MAIN ST,WEYANT AVE,3,0,27,110,2,1,4092016,9,3,8,4,308,2016,7,996,0,0,2,3,0,0,0,7,4,9,8,0,0,0,1,0,0,2,1,11,0
39,211,1,2,3,7,307,1,0,1800,49,4092016,9,2,57,4,20,0,0,257,2016,7,0,3,38,338,30,3,0,2,0,39.95636111,39,57,22.9,3,-82.90848889,82,54,30.56,0,184,1,2,58,258,1,0,2,1,1,0,3,0,4,2,0,0,1,US-40 MAIN ST,WEYANT AVE,3,0,23,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,3,9,8,0,0,0,2,8,8,0,1,99999,5
39,239,1,1,0,27,27,1,0,1800,49,5082016,8,0,12,5,0,0,0,12,2016,1,0,0,46,46,12,5,0,2,0,39.99963889,39,59,58.7,3,-82.9301,82,55,48.36,6,0,0,0,18,18,1,0,5,2,4,0,2,0,1,6,0,0,0,N CASSADY AVE,AIRPORT DR,2,0,25,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,1,0,0,0,2,99999,5
39,239,2,1,0,27,27,1,0,1800,49,5082016,8,0,12,5,0,0,0,12,2016,1,0,0,46,46,12,5,0,2,0,39.99963889,39,59,58.7,3,-82.9301,82,55,48.36,6,0,0,0,18,18,1,0,5,2,4,0,2,0,1,6,0,0,0,N CASSADY AVE,AIRPORT DR,2,0,32,145,2,1,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,1,0,1,0,1,99999,5
39,239,2,2,0,27,27,1,0,1800,49,5082016,8,0,12,5,0,0,0,12,2016,1,0,0,46,46,12,5,0,2,0,39.99963889,39,59,58.7,3,-82.9301,82,55,48.36,6,0,0,0,18,18,1,0,5,2,4,0,2,0,1,6,0,0,0,N CASSADY AVE,AIRPORT DR,2,0,32,340,2,1,5082016,8,0,39,5,39,2016,0,605,0,0,2,1,0,0,0,7,4,9,8,0,0,0,2,8,8,2,1,27,5
39,239,2,3,0,27,27,1,0,1800,49,5082016,8,0,12,5,0,0,0,12,2016,1,0,0,46,46,12,5,0,2,0,39.99963889,39,59,58.7,3,-82.9301,82,55,48.36,6,0,0,0,18,18,1,0,5,2,4,0,2,0,1,6,0,0,0,N CASSADY AVE,AIRPORT DR,2,0,24,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,2,8,8,0,2,99999,5
39,239,2,4,0,27,27,1,0,1800,49,5082016,8,0,12,5,0,0,0,12,2016,1,0,0,46,46,12,5,0,2,0,39.99963889,39,59,58.7,3,-82.9301,82,55,48.36,6,0,0,0,18,18,1,0,5,2,4,0,2,0,1,6,0,0,0,N CASSADY AVE,AIRPORT DR,2,0,24,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,2,8,8,0,2,99999,5
39,243,1,1,21,26,2126,2,0,0,49,4302016,30,21,19,4,0,0,0,2119,2016,7,0,21,50,2150,30,7,0,1,0,39.86050833,39,51,37.83,2,-83.14045278,83,8,25.63,0,0,0,21,19,2119,1,0,2,1,2,0,1,0,4,4,0,0,0,CR-264 BEATTY RD,.,1,0,18,0,2,1,88888888,88,88,88,88,8888,8888,0,1,0,0,2,1,0,0,8,0,2,9,8,0,0,0,1,0,0,0,1,99999,9
39,243,1,2,21,26,2126,2,0,0,49,4302016,30,21,19,4,0,0,0,2119,2016,7,0,21,50,2150,30,7,0,1,0,39.86050833,39,51,37.83,2,-83.14045278,83,8,25.63,0,0,0,21,19,2119,1,0,2,1,2,0,1,0,4,4,0,0,0,CR-264 BEATTY RD,.,1,0,17,0,2,1,4302016,30,22,0,4,2200,2016,0,996,0,0,2,1,0,0,0,7,4,9,8,0,0,0,2,8,8,1,1,41,5
39,245,1,1,21,16,2116,1,0,0,49,5052016,5,21,8,5,0,0,0,2108,2016,5,0,21,44,2144,12,4,0,2,0,39.88877222,39,53,19.58,2,-82.91322778,82,54,47.62,6,0,0,21,11,2111,1,0,5,4,2,0,1,0,1,6,0,0,0,WILLIAMS RD,.,1,0,51,0,2,1,5062016,6,2,17,5,217,2016,0,177,402,407,2,1,1,1,0,7,4,9,8,0,0,0,1,1,1,1,2,509,5
