statenum,casenum,vnumber,pnumber,atmcond,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,acctime,caseyear,dayofweek,fhevent,holiday,heavytruck,latitude,latmin,latsec,lightcond,longitude,lonmin,lonsec,manncol,numfatal,nmforms,vforms,rxing,reljuncinter,relrdwy,schlbus,trafid1,age,alcres,alctst,deathdate,dthday,dthhr,dthmin,dthmon,deathtime,dthyr,drugres1,drugres2,drugres3,drugtst1,drugtst2,drugtst3,hispanic,injury,methalc,methdrug,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex,lagtime
39,2,1,1,1,1800,49,1032016,3,2,35,1,0,0,0,235,2016,1,43,1,0,39.97709722,58,37.55,3,-83.14895556,8,56.24,0,1,0,1,0,0,4,0,I-70,38,230,1,1032016,3,2,55,1,255,2016,1,0,0,1,0,0,7,4,9,8,0,0,0,1,0,0,2,1,20
39,20,1,1,1,1800,49,1012016,1,14,0,1,0,0,0,1400,2016,6,30,1,0,39.90298889,54,10.76,1,-83.18291111,10,58.48,0,1,0,1,0,0,4,0,CR-11 ALKIRE RD,55,130,1,1012016,1,14,18,1,1418,2016,600,996,0,1,3,0,7,4,1,1,0,0,0,1,0,1,1,1,18
39,24,1,1,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,12,1,0,39.99486111,59,41.5,5,-82.9497,56,58.92,7,1,0,3,0,0,1,0,CR-175 BRENTNELL AVE,51,270,1,1032016,3,18,2,1,1802,2016,402,996,0,1,3,0,7,4,9,8,0,0,0,1,1,1,2,1,42
39,24,2,1,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,12,1,0,39.99486111,59,41.5,5,-82.9497,56,58.92,7,1,0,3,0,0,1,0,CR-175 BRENTNELL AVE,20,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,1,9,8,0,0,0,1,0,0,0,1,99999
39,24,2,2,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,12,1,0,39.99486111,59,41.5,5,-82.9497,56,58.92,7,1,0,3,0,0,1,0,CR-175 BRENTNELL AVE,17,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,9,8,0,0,0,2,8,8,0,2,99999
39,24,2,3,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,12,1,0,39.99486111,59,41.5,5,-82.9497,56,58.92,7,1,0,3,0,0,1,0,CR-175 BRENTNELL AVE,2,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,9,8,0,0,0,2,8,8,0,2,99999
39,24,3,1,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,12,1,0,39.99486111,59,41.5,5,-82.9497,56,58.92,7,1,0,3,0,0,1,0,CR-175 BRENTNELL AVE,19,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,3,9,8,0,0,0,1,0,0,0,2,99999
39,24,3,2,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,12,1,0,39.99486111,59,41.5,5,-82.9497,56,58.92,7,1,0,3,0,0,1,0,CR-175 BRENTNELL AVE,18,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,3,9,8,0,0,0,2,0,0,0,1,99999
39,24,3,3,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,12,1,0,39.99486111,59,41.5,5,-82.9497,56,58.92,7,1,0,3,0,0,1,0,CR-175 BRENTNELL AVE,16,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,2,99999
39,33,1,1,1,1800,49,1202016,20,19,2,1,0,0,0,1902,2016,4,12,0,0,40.03744722,2,14.81,2,-83.03245556,1,56.84,6,1,0,2,0,0,1,0,CR-9 OLENTANGY RIVER RD,46,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,1,9,8,0,0,0,1,0,0,0,1,99999
39,33,1,2,1,1800,49,1202016,20,19,2,1,0,0,0,1902,2016,4,12,0,0,40.03744722,2,14.81,2,-83.03245556,1,56.84,6,1,0,2,0,0,1,0,CR-9 OLENTANGY RIVER RD,50,0,1,1202016,20,19,30,1,1930,2016,407,402,996,3,3,3,7,4,9,8,0,0,0,2,8,8,1,2,28
39,33,2,1,1,1800,49,1202016,20,19,2,1,0,0,0,1902,2016,4,12,0,0,40.03744722,2,14.81,2,-83.03245556,1,56.84,6,1,0,2,0,0,1,0,CR-9 OLENTANGY RIVER RD,51,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,9,8,0,0,0,1,0,0,0,2,99999
39,49,0,1,10,1800,49,1312016,31,18,17,1,0,0,0,1817,2016,1,8,0,0,39.94478056,56,41.21,3,-82.87783056,52,40.19,0,1,1,1,0,0,1,0,S HAMILTON RD,40,250,1,2052016,5,12,28,2,1228,2016,348,177,0,1,1,0,7,4,9,8,0,0,0,5,0,0,1,1,11411
39,49,1,1,10,1800,49,1312016,31,18,17,1,0,0,0,1817,2016,1,8,0,0,39.94478056,56,41.21,3,-82.87783056,52,40.19,0,1,1,1,0,0,1,0,S HAMILTON RD,43,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,9,8,0,0,0,1,0,0,0,1,99999
39,49,1,2,10,1800,49,1312016,31,18,17,1,0,0,0,1817,2016,1,8,0,0,39.94478056,56,41.21,3,-82.87783056,52,40.19,0,1,1,1,0,0,1,0,S HAMILTON RD,43,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,9,8,0,0,0,2,8,8,0,1,99999
39,53,1,1,2,0,49,2022016,2,22,7,2,0,0,0,2207,2016,3,12,0,0,39.83046944,49,49.69,2,-83.05271944,3,9.79,6,1,0,2,0,0,1,0,SR-665,22,0,1,2022016,2,22,57,2,2257,2016,1,0,0,1,0,0,6,4,1,8,0,0,0,1,0,0,98,2,50
39,53,2,1,2,0,49,2022016,2,22,7,2,0,0,0,2207,2016,3,12,0,0,39.83046944,49,49.69,2,-83.05271944,3,9.79,6,1,0,2,0,0,1,0,SR-665,35,0,1,88888888,88,88,88,88,8888,8888,1,0,0,1,0,0,0,1,1,8,0,0,0,1,0,0,0,1,99999
39,63,0,1,1,1800,49,2202016,20,6,19,2,0,0,0,619,2016,7,8,0,0,40.01226111,0,44.14,3,-83.14034444,8,25.24,0,1,1,1,0,0,1,0,WALCUTT RD,21,230,1,2202016,20,6,32,2,632,2016,605,996,0,1,3,0,7,4,9,8,0,0,0,5,0,0,1,1,13
39,63,1,1,1,1800,49,2202016,20,6,19,2,0,0,0,619,2016,7,8,0,0,40.01226111,0,44.14,3,-83.14034444,8,25.24,0,1,1,1,0,0,1,0,WALCUTT RD,51,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,9,8,0,0,0,1,0,0,0,1,99999
39,69,1,1,1,1800,49,1302016,30,19,43,1,0,0,0,1943,2016,7,12,0,0,39.95034722,57,1.25,3,-82.91538056,54,55.37,2,1,0,3,0,0,1,0,CR-177 JAMES RD,19,0,1,1302016,30,19,58,1,1958,2016,600,996,0,1,3,0,7,4,9,8,0,0,0,1,0,0,2,1,15
39,69,1,2,1,1800,49,1302016,30,19,43,1,0,0,0,1943,2016,7,12,0,0,39.95034722,57,1.25,3,-82.91538056,54,55.37,2,1,0,3,0,0,1,0,CR-177 JAMES RD,17,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,1,99999
39,69,1,3,1,1800,49,1302016,30,19,43,1,0,0,0,1943,2016,7,12,0,0,39.95034722,57,1.25,3,-82.91538056,54,55.37,2,1,0,3,0,0,1,0,CR-177 JAMES RD,17,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,2,9,8,0,0,0,2,8,8,0,1,99999
39,69,1,4,1,1800,49,1302016,30,19,43,1,0,0,0,1943,2016,7,12,0,0,39.95034722,57,1.25,3,-82.91538056,54,55.37,2,1,0,3,0,0,1,0,CR-177 JAMES RD,16,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,1,99999
39,69,2,1,1,1800,49,1302016,30,19,43,1,0,0,0,1943,2016,7,12,0,0,39.95034722,57,1.25,3,-82.91538056,54,55.37,2,1,0,3,0,0,1,0,CR-177 JAMES RD,26,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,2,9,8,0,0,0,1,0,0,0,1,99999
39,69,2,2,1,1800,49,1302016,30,19,43,1,0,0,0,1943,2016,7,12,0,0,39.95034722,57,1.25,3,-82.91538056,54,55.37,2,1,0,3,0,0,1,0,CR-177 JAMES RD,25,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,2,9,8,0,0,0,2,8,8,0,2,99999
39,69,2,3,1,1800,49,1302016,30,19,43,1,0,0,0,1943,2016,7,12,0,0,39.95034722,57,1.25,3,-82.91538056,54,55.37,2,1,0,3,0,0,1,0,CR-177 JAMES RD,0,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,2,9,8,0,0,0,2,8,8,0,2,99999
